Lot No.,Batch No.,Vm,t5
2021-03-24,3,40.2,3.24
2021-03-24,5,40.4,3.31
2021-03-24,7,41,3.21
2021-03-24,9,41,3.24
2021-03-24,11,40.8,3.31
2021-03-24,13,40.9,3.19
2021-03-24,15,41.4,3.24
2021-03-24,17,40.8,3.51
2021-03-24,19,40.6,3.36
2021-03-24,21,40.7,3.26
2021-03-24,23,40.7,3.21
2021-03-24,25,41,3.25
2021-03-24,27,41.9,3
2021-03-24,29,39.9,3.17
2021-03-24,31,39.5,3.25
2021-03-24,33,40.6,3.13
2021-03-24,35,40.3,3.24
2021-03-24,37,39.5,3.16
2021-03-24,39,39.2,3.14
2021-03-24,41,39.6,3.24
2021-03-24,43,39.3,3.2
2021-03-24,45,38.9,3.17
2021-03-24,47,39.1,3.08
2021-03-24,49,40.3,2.57
2021-03-24,51,39.2,3.08
2021-03-24,53,39.8,3.12
2021-03-24,55,40.2,2.59
2021-03-24,57,40.2,3.04
2021-03-25,11,40.8,2.56
2021-03-25,13,40.4,2.51
2021-03-25,15,40.3,3.01
2021-03-25,17,39.9,3.15
2021-03-25,19,39.3,3.19
2021-03-25,21,39.5,3.29
2021-03-25,23,40,3.15
2021-03-25,25,40.1,3.19
2021-03-25,27,39.9,3.2
2021-03-25,29,40.4,3.12
2021-03-25,31,40,3.24
2021-03-25,33,40.1,3.2
2021-03-25,35,39.8,3.22
2021-03-25,37,40.1,3.22
2021-03-25,39,40,3.2
2021-03-25,41,40.3,3.24
2021-03-25,43,40.4,3.15
2021-03-25,45,40.3,3.34
2021-03-26,1,40,3.2
2021-03-26,3,44,3.21
2021-03-26,5,40.6,3.38
2021-03-26,7,43,3.09
2021-03-26,9,40.7,3.07
2021-03-26,11,40.8,3.06
2021-03-26,13,42,3.14
2021-03-26,15,40.8,3.21
2021-03-26,17,44.3,3.23
2021-03-26,19,40.9,3.13
2021-03-26,21,40.3,3.34
2021-03-26,23,39.8,3.37
2021-03-26,25,38.9,3.32
2021-03-26,27,38.4,3.42
2021-03-26,29,38.5,3.3
2021-03-26,31,38.4,3.26
2021-03-26,33,38.6,3.34
2021-03-26,35,38.3,3.37
2021-03-26,37,39.1,3.39
2021-03-26,39,38.9,3.24
2021-03-27,1,37.3,3.32
2021-03-27,3,37.9,3.43
2021-03-27,5,38.1,3.11
2021-03-27,7,37.6,3.09
2021-03-27,9,37.7,3.17
2021-03-27,11,37.8,3.16
2021-03-27,13,37.7,3.11
2021-03-27,15,37.7,3.08
2021-03-27,17,37.8,3.15
2021-03-27,19,37.9,3.2
2021-03-27,21,41.5,3.15
2021-03-27,23,39.9,3.16
2021-03-27,25,40.4,3.23
2021-03-27,27,38.9,3.17
2021-03-27,29,38.9,3.18
2021-03-27,31,39.5,3.17
2021-03-27,33,39.6,3.07
2021-03-27,35,39.3,3.14
2021-03-27,37,38.6,3.13
2021-03-27,39,38.4,3.15
2021-03-27,41,38.7,3.18
2021-03-30,1,38.2,3.18
2021-03-30,3,38,3.11
2021-03-30,5,36.5,3.16
2021-03-30,7,37.5,3.15
2021-03-30,9,37.2,3.12
2021-03-30,11,37.3,3.16
2021-03-30,13,38.8,3.34
2021-03-30,15,38.7,3.09
2021-03-30,17,38.6,3.04
2021-03-30,19,38.1,3.11
2021-03-30,21,37.9,3.21
2021-03-30,23,37.6,3.12
2021-03-31,1,39,3.23
2021-03-31,3,39.5,3.06
2021-03-31,5,39.3,3.19
2021-03-31,7,40,3.25
2021-03-31,9,39.1,3.18
2021-03-31,11,39.6,3.17
2021-04-01,1,38.7,3.28
2021-04-01,3,39.3,3.18
2021-04-01,5,38.7,3.19
2021-04-01,7,38.8,3.19
2021-04-01,9,39.7,3.11
2021-04-01,11,40.2,3
2021-04-01,13,39.9,3.02
2021-04-01,15,40,2.58
2021-04-01,17,39.9,3.13
2021-04-01,19,39.4,3.09
2021-04-01,21,38.7,3.18
2021-04-01,23,39.3,3.09
2021-04-01,25,39.5,3.13
2021-04-01,27,39.3,3.2
2021-04-01,29,39.8,3.14
2021-04-01,31,39.2,3.15
2021-04-01,33,39.3,3.16
2021-04-01,35,39.9,3.06
2021-04-02,1,37.2,3.33
2021-04-02,3,38,3.16
2021-04-02,5,38.9,3.09
2021-04-02,7,38.3,3.13
2021-04-02,9,39.2,3.14
2021-04-02,11,38.4,3.16
2021-04-02,13,38.4,3.25
2021-04-02,15,38.4,3.26
2021-04-02,17,39.3,3.26
2021-04-02,19,39.2,3.18
2021-04-02,21,39.2,3.14
2021-04-02,23,38.4,3.32
2021-04-02,25,39,3.14
2021-04-02,27,39,3.17
2021-04-02,29,39.5,3.41
2021-04-02,31,39,3.12
2021-04-02,33,38.9,3.18
2021-04-02,35,39.2,3.17
2021-04-02,37,39.7,3.14
2021-04-02,39,39.3,3.09
2021-04-02,41,39.4,3.3
2021-04-02,43,38.9,3.15
2021-04-02,45,39.5,3.18
2021-04-02,47,38.9,3.22
2021-04-02,49,38.5,3.15
2021-04-02,51,38.8,3.13
2021-04-02,53,38,3.2
2021-04-02,55,38.8,3.11
2021-04-02,57,38.6,3.18
2021-04-02,59,38,3.18
2021-04-02,61,38.4,3.24
2021-04-02,63,38.4,3.15
2021-04-03,1,34.2,3.41
2021-04-03,3,34.3,3.2
2021-04-03,5,34.9,3.15
2021-04-03,7,35,3.22
2021-04-03,9,35.4,3.22
2021-04-03,11,35.2,3.24
2021-04-03,13,34.6,3.25
2021-04-03,15,35.2,3.13
2021-04-03,17,34.4,3.54
2021-04-03,19,35.4,3.15
2021-04-03,21,35.6,3.11
2021-04-03,23,39.6,3.21
2021-04-03,25,38.6,3.21
2021-04-03,27,39,3.25
2021-04-03,29,39.4,3.14
2021-04-06,1,38.2,3.33
2021-04-06,3,38.6,3.46
2021-04-06,5,38.8,3.23
2021-04-06,7,38.8,3.23
2021-04-06,9,39.4,3.45
2021-04-06,11,39.4,3.23
2021-04-06,13,39.5,3.18
2021-04-06,15,38.9,3.19
2021-04-06,17,39.3,3.17
2021-04-06,19,39.2,3.19
2021-04-06,21,41.8,3.18
2021-04-06,23,40.8,3.25
2021-04-06,25,40.3,3.26
2021-04-06,27,40,3.21
2021-04-06,29,40.5,3.28
2021-04-06,31,40.6,3.15
2021-04-06,33,40.4,3.16
2021-04-06,35,40.4,3.17
2021-04-06,37,39.8,3.16
2021-04-06,39,39.7,3.18
2021-04-06,41,39.9,3.19
2021-04-06,43,40.9,3.4
2021-04-06,45,40.1,3.17
2021-04-06,47,39.7,3.21
2021-04-06,49,40.4,3.16
2021-04-06,51,40,3.12
2021-04-06,53,40.1,3.16
2021-04-06,55,39,3.18
2021-04-06,57,39.2,3.26
2021-04-06,59,39.2,3.27
2021-04-06,61,39.8,3.19
2021-04-06,63,41.3,3.41
2021-04-06,65,39.8,3.22
2021-04-06,67,39.8,3.2
2021-04-06,69,40,3.25
2021-04-06,71,40.2,3.3
2021-04-07,1,40.6,3.25
2021-04-07,3,39.7,3.24
2021-04-07,5,39.9,3.18
2021-04-07,7,39.9,3.15
2021-04-07,9,40.4,3.19
2021-04-07,11,39.1,3.23
2021-04-07,13,39.4,3.19
2021-04-07,15,39.6,3.19
2021-04-07,17,38.9,3.21
2021-04-07,19,38.8,3.19
2021-04-07,21,39.3,3.22
2021-04-08,1,38.3,3.25
2021-04-08,3,38.7,3.28
2021-04-08,5,38.7,3.12
2021-04-08,7,39.2,3.08
2021-04-08,9,40,3.23
2021-04-08,11,39.3,3.18
2021-04-08,13,40.3,3.13
2021-04-08,15,38.7,3.13
2021-04-08,17,39.3,3.16
2021-04-08,19,39.5,3.14
2021-04-08,21,39.4,3.35
2021-04-08,23,39.5,3.47
2021-04-08,25,39.4,3.12
2021-04-08,27,40,3.06
2021-04-08,29,38.9,3.16
2021-04-08,31,39.1,3.14
2021-04-08,33,39.5,3.4
2021-04-08,35,39.3,3.1
2021-04-10,1,38.6,3.16
2021-04-10,3,38.2,3.16
2021-04-10,5,39.1,3.41
2021-04-10,7,38,3.05
2021-04-10,9,38.1,3.03
2021-04-10,11,38.3,3.07
2021-04-10,13,38.5,3.12
2021-04-10,15,38,3.1
2021-04-10,17,37.9,3.1
2021-04-13,1,37.4,3.26
2021-04-13,3,38.1,3.22
2021-04-13,5,38.6,3.06
2021-04-13,7,39.2,3.1
2021-04-13,9,39.7,3.07
2021-04-13,11,39.2,3.35
2021-04-13,13,39.4,3.09
2021-04-13,15,39.6,3.14
2021-04-13,17,39.6,3.04
2021-04-13,19,40.2,2.54
2021-04-13,21,39.8,3.02
2021-04-13,23,39.7,2.58
2021-04-13,25,40.8,3.2
2021-04-13,27,40.1,3.02
2021-04-13,29,40.2,2.54
2021-04-13,31,40.6,2.53
2021-04-13,33,41.3,2.51
2021-04-13,35,40.9,2.54
2021-04-13,37,40.8,2.58
2021-04-13,39,40.8,2.51
2021-04-13,41,40.8,3
2021-04-13,43,40.5,2.57
2021-04-14,1,40.6,2.55
2021-04-14,3,39.8,3.01
2021-04-14,5,39.6,3
2021-04-14,7,40,2.58
2021-04-14,9,39.7,3.04
2021-04-14,11,39.3,3.05
2021-04-14,13,38.9,3.11
2021-04-14,15,39.9,3.05
2021-04-14,17,39.4,3.05
2021-04-14,19,39.1,3.04
2021-04-14,21,39,3.13
2021-04-14,23,38.6,3.03
2021-04-14,25,39.5,2.56
2021-04-14,27,39.3,3.05
2021-04-14,29,39.4,3.03
2021-04-15,1,39.3,3.15
2021-04-15,3,39.2,3.15
2021-04-15,5,39.8,3.22
2021-04-15,7,40,3.35
2021-04-15,9,39.8,3.16
2021-04-15,11,40.1,3.08
2021-04-15,13,40.3,3.09
2021-04-15,15,40,3.1
2021-04-15,17,39.7,3.1
2021-04-15,19,39.2,3.16
2021-04-15,21,40.6,3.04
2021-04-15,23,40.3,3.08
2021-04-15,25,39.7,3.08
2021-04-15,27,39.7,3.05
2021-04-15,29,39.8,3.06
2021-04-15,31,39.4,3.11
2021-04-15,33,40,3.04
2021-04-15,35,40,3.16
2021-04-16,1,38.6,3.15
2021-04-16,3,39.2,3.32
2021-04-16,5,39.2,3.04
2021-04-16,7,39.4,3.04
2021-04-16,9,39.2,3.1
2021-04-16,11,39.4,3.02
2021-04-17,1,40.3,3.4
2021-04-17,3,39.7,3.26
2021-04-17,5,40.1,3.17
2021-04-17,7,39.6,3.18
2021-04-17,9,39.6,3.16
2021-04-17,11,39.9,3.13
2021-04-17,13,41.6,3.06
2021-04-17,15,40.2,3.12
2021-04-17,17,40.8,3.12
2021-04-17,19,41.4,3.12
2021-04-17,21,39,3.3
2021-04-17,23,39.2,3.14
2021-04-17,25,38.1,3.16
2021-04-17,27,37.9,3.22
2021-04-17,29,38.2,3.3
2021-04-17,31,38.4,3.15
2021-04-17,33,38.1,3.19
2021-04-17,35,38.6,3.17
2021-04-17,1,36.5,3.03
2021-04-20,3,35.3,3.24
2021-04-20,5,36,3.06
2021-04-20,7,36.4,3.04
2021-04-20,9,35.4,3.11
2021-04-20,11,36.3,3.03
2021-04-20,13,36.5,3.02
2021-04-20,15,36.3,3.06
2021-04-20,17,36.8,3.07
2021-04-20,19,37.2,3
2021-04-20,21,36.6,3.12
2021-04-20,23,36.6,3.05
2021-04-20,25,36.6,3.05
2021-04-20,27,37.1,3.15
2021-04-20,29,36.7,3.03
2021-04-20,31,36.6,3.01
2021-04-20,33,36.5,2.56
2021-04-20,35,37.2,2.58
2021-04-20,37,40,3.1
2021-04-20,39,39.4,3.06
2021-04-20,41,39.4,3.19
2021-04-20,43,38.4,3.01
2021-04-20,45,39.3,3.06
2021-04-20,47,38.8,3.11
2021-04-20,49,38.8,3.1
2021-04-20,51,39.8,3.04
2021-04-20,53,40.2,2.58
2021-04-20,55,39.9,3.34
2021-04-20,57,39.8,3.02
2021-04-20,59,39.5,3.01
2021-04-20,1,39.7,3.09
2021-04-21,3,39.6,3.03
2021-04-21,5,39.3,3.06
2021-04-21,7,39.3,3.03
2021-04-21,9,40.2,2.55
2021-04-21,11,41.2,2.42
2021-04-21,13,39.5,3.04
2021-04-21,15,39.4,2.58
2021-04-21,17,39.4,3.04
2021-04-21,19,39.5,3.06
2021-04-21,21,40,3.02
2021-04-21,23,32.8,6.36
2021-04-21,1,39.3,3.18
2021-04-22,3,38.7,3.22
2021-04-22,5,39.4,3.1
2021-04-22,7,39.2,3.08
2021-04-22,9,39,3.16
2021-04-22,11,38.6,3.14
2021-04-22,1,38.8,3.2
2021-04-23,3,39.4,3.23
2021-04-23,5,39.8,2.58
2021-04-23,7,39.3,3.13
2021-04-23,9,39.3,3.22
2021-04-23,11,39.4,3.15
2021-04-23,13,39.3,3.09
2021-04-23,15,39.1,3.13
2021-04-23,17,39.1,3.13
2021-04-23,19,38.8,3.05
2021-04-23,21,44.1,2.43
2021-04-23,23,42.1,2.46
2021-04-23,25,41.4,2.59
2021-04-23,27,42.2,2.52
2021-04-23,29,40.9,2.51
2021-04-23,31,43.8,2.48
2021-04-23,33,42.1,2.42
2021-04-23,35,41.6,2.47
2021-04-23,37,41.2,2.53
2021-04-23,39,41.5,2.47
2021-04-23,41,41.3,2.55
2021-04-23,43,40.8,2.51
2021-04-23,45,42,2.41
2021-04-23,47,42.7,3.06
2021-04-23,49,41.7,2.43
2021-04-23,51,43.2,2.28
2021-04-23,53,43.3,2.28
2021-04-23,55,41.9,2.5
2021-04-23,57,42.2,2.39
2021-04-23,59,41.6,2.46
2021-04-23,1,41.7,2.35
2021-04-27,3,40.6,2.42
2021-04-27,5,40.1,2.57
2021-04-27,7,40.9,2.46
2021-04-27,9,41.1,2.41
2021-04-27,11,41.2,2.4
2021-04-27,13,40.9,2.48
2021-04-27,15,40.7,2.46
2021-04-27,17,42.3,2.34
2021-04-27,19,42.3,2.34
2021-04-27,21,43,2.49
2021-04-27,23,43.3,2.37
2021-04-27,25,43.6,2.28
2021-04-27,27,43,2.37
2021-04-27,29,43.2,2.37
2021-04-27,31,42.6,2.41
2021-04-27,33,42.2,2.49
2021-04-27,35,42.5,2.35
2021-04-27,37,42.6,2.55
2021-04-27,39,40.6,3.06
2021-04-27,1,43.5,2.51
2021-04-28,3,40.8,3.09
2021-04-28,5,40.9,3.11
2021-04-28,7,40.7,3.02
2021-04-28,9,41.4,3.25
2021-04-28,11,42.2,2.45
2021-04-28,13,43.6,2.38
2021-05-05,1,39.0 ,3.15 
2021-05-05,3,38.7 ,3.18 
2021-05-05,5,39.0 ,3.15 
2021-05-05,7,38.6 ,3.13 
2021-05-05,9,39.1 ,3.05 
2021-05-05,11,39.2 ,3.18 
2021-05-05,13,38.6 ,3.12 
2021-05-05,15,38.7 ,3.10 
2021-05-05,17,39.2 ,3.34 
2021-05-05,19,40.2 ,2.57 
2021-05-05,21,40.8 ,2.53 
2021-05-05,23,38.6 ,3.06 
2021-05-05,25,37.9 ,3.17 
2021-05-05,27,37.8 ,3.13 
2021-05-05,29,38.3 ,3.26 
2021-05-05,31,38.6 ,3.04 
2021-05-05,33,37.9 ,3.13 
2021-05-05,35,37.6 ,3.10 
2021-05-05,37,37.7 ,3.10 
2021-05-05,39,37.2 ,3.13 
2021-05-05,41,37.5 ,3.22 
2021-05-05,43,39.3 ,3.11 
2021-05-05,45,37.7 ,3.08 
2021-05-05,47,39.1 ,2.59 
2021-05-05,49,38.7 ,3.01 
2021-05-05,51,37.9 ,3.07 
2021-05-05,53,38.3 ,3.09 
2021-05-05,55,38.8 ,3.05 
2021-05-05,57,38.6 ,2.59 
2021-05-05,60,39.2 ,3.07 
2021-05-08,1,41.8 ,3.09 
2021-05-08,5,40.1 ,3.05 
2021-05-08,11,40.1 ,2.55 
2021-05-08,15,41.1 ,2.48 
2021-05-08,21,42.3 ,2.48 
2021-05-08,25,39.1 ,3.45 
2021-05-12,25,42.1 ,3.05 
2021-05-12,27,42.3 ,3.10 
2021-05-12,29,41.6 ,3.07 
2021-05-12,31,41.5 ,3.03 
2021-05-12,33,41.7 ,3.01 
2021-05-12,35,41.9 ,2.59 
2021-05-14,1,41.8 ,3.12 
2021-05-14,3,42.2 ,2.57 
2021-05-14,5,41.6 ,3.08 
2021-05-14,7,42.4 ,2.58 
2021-05-14,9,41.8 ,3.06 
2021-05-14,11,41.8 ,2.59 
2021-05-14,13,42.4 ,2.48 
2021-05-14,15,42.8 ,2.46 
2021-05-14,17,42.5 ,2.50 
2021-05-14,19,41.0 ,3.06 
2021-05-14,21,40.4 ,3.13 
2021-05-14,23,41.6 ,3.06 
2021-05-14,25,41.2 ,2.58 
2021-05-14,27,42.0 ,2.43 
2021-05-14,29,41.6 ,2.52 
2021-05-14,31,42.2 ,2.34 
2021-05-14,33,40.9 ,2.42 
2021-05-14,35,42.3 ,2.47 
2021-05-14,37,40.8 ,2.58 
2021-05-14,39,40.2 ,3.07 
2021-05-14,41,41.0 ,3.08 
2021-05-18,1,40.3 ,3.31 
2021-05-18,3,40.6 ,3.08 
2021-05-18,5,40.8 ,3.03 
2021-05-18,7,40.8 ,2.56 
2021-05-18,9,40.6 ,2.56 
2021-05-18,11,42.2 ,2.47 
2021-05-18,13,41.6 ,2.53 
2021-05-18,15,41.0 ,2.58 
2021-05-18,17,41.2 ,2.54 
2021-05-18,19,41.8 ,2.46 
2021-05-18,21,40.6 ,3.04 
2021-05-18,23,40.0 ,3.02 
2021-05-18,25,40.6 ,3.02 
2021-05-18,27,41.0 ,2.54 
2021-05-18,29,40.5 ,3.00 
2021-05-18,31,40.8 ,2.55 
2021-05-18,33,41.1 ,2.56 
2021-05-18,35,41.6 ,2.53 
2021-05-19,1,41.5 ,3.06 
2021-05-19,3,39.8 ,3.11 
2021-05-19,5,39.7 ,3.13 
2021-05-19,7,39.9 ,3.08 
2021-05-19,9,39.6 ,3.14 
2021-05-19,11,38.8 ,3.12 
2021-05-19,13,38.8 ,3.15 
2021-05-19,15,40.4 ,2.59 
2021-05-19,17,40.2 ,2.59 
2021-05-19,19,40.2 ,3.02 
2021-05-19,21,41.7 ,3.15 
2021-05-19,23,40.4 ,2.55 
2021-05-19,25,40.6 ,3.15 
2021-05-19,27,41.0 ,3.02 
2021-05-19,29,41.1 ,3.21 
2021-05-19,31,40.7 ,3.00 
2021-05-19,33,40.0 ,3.02 
2021-05-19,35,40.7 ,2.59 
2021-05-19,37,40.7 ,3.04 
2021-05-19,39,40.9 ,2.52 
2021-05-19,41,40.6 ,3.02 
2021-05-19,43,40.4 ,2.54 
2021-05-19,45,39.8 ,3.10 
2021-05-19,47,40.8 ,2.52 
2021-05-20,1,40.6 ,3.01 
2021-05-20,3,40.2 ,3.04 
2021-05-20,5,40.2 ,3.04 
2021-05-20,7,40.4 ,3.00 
2021-05-20,9,41.1 ,2.51 
2021-05-20,11,40.2 ,3.11 
2021-05-20,13,41.1 ,3.20 
2021-05-20,15,40.6 ,3.15 
2021-05-20,17,40.9 ,3.18 
2021-05-20,19,41.6 ,3.05 
2021-05-20,21,40.8 ,3.00 
2021-05-20,23,41.4 ,2.59 
2021-05-21,1,39.60 ,3.17 
2021-05-21,3,40.0 ,3.01 
2021-05-21,5,40.2 ,3.00 
2021-05-21,7,41.0 ,2.59 
2021-05-21,9,40.9 ,2.59 
2021-05-21,11,41.1 ,2.49 
2021-05-21,13,40.4 ,2.54 
2021-05-21,15,41.7 ,2.45 
2021-05-21,17,41.3 ,2.52 
2021-05-21,19,41.2 ,2.49 
2021-05-21,21,40.0 ,3.03 
2021-05-21,23,39.9 ,3.09 
2021-05-21,25,40.3 ,2.57 
2021-05-21,27,39.9 ,3.01 
2021-05-21,29,40.1 ,3.00 
2021-05-21,31,41.2 ,2.56 
2021-05-21,33,41.5 ,2.45 
2021-05-21,35,41.7 ,2.41 
2021-05-21,37,40.6 ,2.53 
2021-05-21,39,40.6 ,3.01 
2021-05-25,1,39.9 ,3.27 
2021-05-25,3,40.2 ,3.09 
2021-05-25,5,39.8 ,3.03 
2021-05-25,7,40.2 ,3.01 
2021-05-25,9,41.1 ,2.56 
2021-05-25,11,40.4 ,2.59 
2021-05-25,13,40.6 ,3.12 
2021-05-25,15,40.8 ,3.10 
2021-05-25,17,41.1 ,2.50 
2021-05-25,19,41.0 ,2.50 
2021-05-25,21,40.8 ,3.02 
2021-05-25,23,41.4 ,3.06 
2021-05-25,25,41.2 ,3.19 
2021-05-25,27,41.0 ,2.54 
2021-05-25,29,40.4 ,2.55 
2021-05-25,31,40.3 ,3.05 
2021-05-25,33,41.8 ,3.19 
2021-05-25,35,41.0 ,2.53 
2021-05-25,37,40.4 ,2.53 
2021-05-25,39,40.4 ,2.50 
2021-05-25,41,41.5 ,2.43 
2021-05-26,1,38.7 ,3.08 
2021-05-26,3,38.9 ,3.09 
2021-05-26,5,39.3 ,3.03 
2021-05-26,7,39.3 ,3.19 
2021-05-26,9,40.1 ,2.57 
2021-05-26,11,39.8 ,3.01 
2021-05-26,13,39.7 ,2.54 
2021-05-26,15,40.2 ,2.49 
2021-05-26,17,41.2 ,2.42 
2021-05-26,19,40.2 ,2.54 
2021-05-26,21,43.4 ,2.55 
2021-05-26,23,41.6 ,3.03 
2021-05-26,25,42.6 ,2.55 
2021-05-26,27,43.0 ,2.52 
2021-05-26,29,42.9 ,3.04 
2021-05-26,31,43.1 ,2.49 
2021-05-26,33,43.0 ,2.50 
2021-05-26,35,43.1 ,2.48 
2021-05-26,37,43.0 ,2.40 
2021-05-26,39,42.4 ,3.01 
2021-05-26,41,42.8 ,2.58 
2021-05-27,1,41.1 ,3.14 
2021-05-27,3,41.9 ,3.05 
2021-05-27,5,42.9 ,2.54 
2021-05-27,7,41.7 ,2.52 
2021-05-27,9,41.8 ,2.53 
2021-05-27,11,43.5 ,2.48 
2021-05-27,13,42.2 ,2.49 
2021-05-27,15,44.4 ,3.06 
2021-05-27,17,44.7 ,2.53 
2021-05-27,19,43.3 ,2.51 
2021-05-27,21,43.8 ,2.54 
2021-05-27,23,44.4 ,2.52 
2021-05-27,25,44.2 ,2.53 
2021-05-27,27,43.6 ,2.55 
2021-05-27,29,42.6 ,2.54 
2021-05-27,31,43.2 ,2.51 
2021-05-27,33,43.6 ,2.46 
2021-05-27,35,43.7 ,2.48 
2021-05-27,37,43.3 ,2.46 
2021-05-27,39,42.6 ,2.46 
2021-05-27,41,41.9 ,2.57 
2021-05-27,43,41.8 ,2.53 
2021-05-27,45,42.0 ,2.59 
2021-05-27,47,42.7 ,2.50 
2021-05-27,49,42.6 ,2.52 
2021-05-27,51,42.0 ,2.47 
2021-05-27,53,42.4 ,2.50 
2021-05-27,55,42.0 ,2.51 
2021-05-27,57,42.3 ,2.52 
2021-05-27,59,43.1 ,3.13 
2021-05-28,1,40.5 ,3.06 
2021-05-28,3,41.7 ,2.56 
2021-05-28,5,40.8 ,2.58 
2021-05-28,7,40.8 ,2.58 
2021-05-28,9,41.6 ,2.46 
2021-05-28,11,43.8 ,2.56 
2021-05-28,13,42.8 ,2.49 
2021-05-28,15,41.2 ,2.59 
2021-05-28,17,40.4 ,2.56 
2021-05-28,19,40.4 ,3.01 
2021-05-28,21,41.3 ,3.02 
2021-05-28,23,40.2 ,3.10 
2021-06-02,1,42.5 ,3.03 
2021-06-02,3,42.6 ,2.50 
2021-06-02,5,42.0 ,2.59 
2021-06-02,7,41.2 ,3.04 
2021-06-02,9,42.2 ,2.52 
2021-06-02,11,43.6 ,2.53 
2021-06-02,13,43.4 ,2.54 
2021-06-02,15,43.1 ,2.58 
2021-06-02,17,41.9 ,3.05 
2021-06-02,19,42.1 ,3.03 
2021-06-02,21,42.1 ,3.06 
2021-06-02,23,42.0 ,2.56 
2021-06-02,25,42.4 ,3.05 
2021-06-02,27,43.0 ,2.46 
2021-06-02,29,44.1 ,2.36 
2021-06-02,31,41.8 ,3.08 
2021-06-02,33,42.4 ,2.56 
2021-06-02,35,42.4 ,2.56 
2021-06-02,37,42.8 ,2.52 
2021-06-02,39,42.6 ,2.55 
2021-06-02,41,43.3 ,3.24 
2021-06-03,1,43.5 ,2.57 
2021-06-03,3,44.5 ,3.02 
2021-06-03,5,42.9 ,2.55 
2021-06-03,7,43.2 ,3.03 
2021-06-03,9,43.1 ,3.00 
2021-06-03,11,44.0 ,2.59 
2021-06-03,13,44.6 ,2.52 
2021-06-03,15,43.6 ,2.54 
2021-06-03,17,44.6 ,2.43 
2021-06-03,19,43.5 ,3.00 
2021-06-03,21,44.0 ,3.04 
2021-06-03,23,43.1 ,3.00 
2021-06-03,25,43.3 ,2.57 
2021-06-03,27,43.2 ,2.58 
2021-06-03,29,43.2 ,3.02 
2021-06-08,1,42.5 ,2.54 
2021-06-08,3,41.3 ,3.08 
2021-06-08,5,41.4 ,3.05 
2021-06-08,7,42.4 ,2.57 
2021-06-08,9,42.4 ,2.59 
2021-06-08,11,42.2 ,2.58 
2021-06-08,13,42.8 ,3.29 
2021-06-08,15,42.4 ,3.00 
2021-06-08,17,43.3 ,2.53 
2021-06-08,19,41.6 ,3.02 
2021-06-08,21,42.9 ,3.04 
2021-06-08,23,41.5 ,3.04 
2021-06-15,1,43.3 ,2.52 
2021-06-15,3,43.1 ,3.00 
2021-06-15,5,41.7 ,3.00 
2021-06-15,7,41.1 ,2.54 
2021-06-15,9,40.5 ,2.54 
2021-06-15,11,41.1 ,2.50 
2021-06-15,13,41.1 ,2.51 
2021-06-15,15,39.5 ,3.05 
2021-06-15,17,39.9 ,3.08 
2021-06-15,19,40.7 ,2.55 
2021-06-15,21,39.7 ,3.08 
2021-06-15,23,41.5 ,2.54 
2021-06-15,25,42.0 ,2.52 
2021-06-15,27,40.5 ,2.57 
2021-06-15,29,41.8 ,2.53 
2021-06-15,31,41.1 ,2.50 
2021-06-15,33,40.2 ,2.53 
2021-06-15,35,40.3 ,2.55 
2021-06-15,37,41.1 ,2.48 
2021-06-15,39,41.8 ,2.46 
2021-06-15,41,40.7 ,3.03 
2021-06-15,43,40.9 ,2.52 
2021-06-15,45,41.3 ,2.48 
2021-06-15,47,40.7 ,2.50 
2021-06-16,1,40.4 ,3.08 
2021-06-16,3,40.9 ,3.02 
2021-06-16,5,41.8 ,2.52 
2021-06-16,7,42.0 ,2.55 
2021-06-16,9,41.4 ,2.54 
2021-06-16,11,40.2 ,2.51 
2021-06-16,13,40.4 ,2.46 
2021-06-16,15,39.6 ,3.00 
2021-06-16,17,39.8 ,3.11 
2021-06-16,19,40.1 ,3.17 
2021-06-16,21,40.4 ,2.57 
2021-06-16,23,40.4 ,2.52 
2021-06-16,25,40.0 ,2.54 
2021-06-16,27,40.0 ,3.32 
2021-06-16,29,39.5 ,3.05 
2021-06-16,31,40.0 ,3.01 
2021-06-16,33,39.7 ,3.03 
2021-06-16,35,39.8 ,3.00 
2021-06-16,37,41.4 ,3.04 
2021-06-16,39,39.6 ,2.56 
2021-06-23,1,42.8 ,2.47 
2021-06-23,3,39.6 ,3.08 
2021-06-23,5,39.1 ,3.03 
2021-06-23,7,39.2 ,2.59 
2021-06-23,9,38.6 ,2.53 
2021-06-23,11,40.1 ,2.48 
2021-06-23,13,40.3 ,2.52 
2021-06-23,15,40.8 ,2.47 
2021-06-23,17,39.5 ,3.00 
2021-06-23,19,39.3 ,3.08 
2021-06-23,21,40.2 ,3.33 
2021-06-23,23,39.6 ,3.02 
2021-06-23,25,39.5 ,3.01 
2021-06-23,27,40.4 ,2.49 
2021-06-23,29,40.1 ,3.00 
2021-06-23,31,39.9 ,2.59 
2021-06-23,33,39.9 ,3.09 
2021-06-23,35,39.8 ,3.06 
2021-06-24,1,38.8 ,3.31 
2021-06-24,3,39.2 ,3.13 
2021-06-24,5,39.3 ,3.03 
2021-06-24,7,39.2 ,3.07 
2021-06-24,9,39.1 ,3.01 
2021-06-24,11,39.0 ,3.01 
2021-06-24,13,39.4 ,3.21 
2021-06-24,15,39.8 ,3.02 
2021-06-24,17,39.5 ,3.01 
